Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
craftingRangedWeaponBasicT6Name,,,,,"Basic Ranged Weapons tier 6","Armas a distancia Basicas tier 6",,
craftingRangedWeaponBasicT1Desc,,,,,"Can graft Basic Ranged Weapons tier 1","Permite craftear armas a distancia Basicas tier 1",,
craftingRangedWeaponBasicT2Desc,,,,,"Can graft Basic Ranged Weapons tier 2","Permite craftear armas a distancia Basicas tier 2",,
craftingRangedWeaponBasicT3Desc,,,,,"Can graft Basic Ranged Weapons tier 3","Permite craftear armas a distancia Basicas tier 3",,
craftingRangedWeaponBasicT4Desc,,,,,"Can graft Basic Ranged Weapons tier 4","Permite craftear armas a distancia Basicas tier 4",,
craftingRangedWeaponBasicT5Desc,,,,,"Can graft Basic Ranged Weapons tier 5","Permite craftear armas a distancia Basicas tier 5",,
craftingRangedWeaponBasicT6Desc,,,,,"Can graft Basic Ranged Weapons tier 6","Permite craftear armas a distancia Basicas tier 6",,
craftingRangedWeaponBasicT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponBasicT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponBasicT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponBasicT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponBasicT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponBasicT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
rangedWeaponBasicT1,,,,,"Basic Ranged Weapons tier 1.","Armas a distancia Basicas tier 1.",,
rangedWeaponBasicT2,,,,,"Basic Ranged Weapons tier 2.","Armas a distancia Basicas tier 2.",,
rangedWeaponBasicT3,,,,,"Basic Ranged Weapons tier 3.","Armas a distancia Basicas tier 3.",,
rangedWeaponBasicT4,,,,,"Basic Ranged Weapons tier 4.","Armas a distancia Basicas tier 4.",,
rangedWeaponBasicT5,,,,,"Basic Ranged Weapons tier 5.","Armas a distancia Basicas tier 5.",,
rangedWeaponBasicT6,,,,,"Basic Ranged Weapons tier 6.","Armas a distancia Basicas tier 6.",,
craftingRangedWeaponRegularT1Name,,,,,"Medium Ranged Weapons tier 1","Armas a distancia Medias tier 1",,
craftingRangedWeaponRegularT2Name,,,,,"Medium Ranged Weapons tier 2","Armas a distancia Medias tier 2",,
craftingRangedWeaponRegularT3Name,,,,,"Medium Ranged Weapons tier 3","Armas a distancia Medias tier 3",,
craftingRangedWeaponRegularT4Name,,,,,"Medium Ranged Weapons tier 4","Armas a distancia Medias tier 4",,
craftingRangedWeaponRegularT5Name,,,,,"Medium Ranged Weapons tier 5","Armas a distancia Medias tier 5",,
craftingRangedWeaponRegularT6Name,,,,,"Medium Ranged Weapons tier 6","Armas a distancia Medias tier 6",,
craftingRangedWeaponRegularT1Desc,,,,,"Can craft Medium Ranged Weapons tier 1","Permite craftear armas a distancia Medias tier 1",,
craftingRangedWeaponRegularT2Desc,,,,,"Can craft Medium Ranged Weapons tier 2","Permite craftear armas a distancia Medias tier 2",,
craftingRangedWeaponRegularT3Desc,,,,,"Can craft Medium Ranged Weapons tier 3","Permite craftear armas a distancia Medias tier 3",,
craftingRangedWeaponRegularT4Desc,,,,,"Can craft Medium Ranged Weapons tier 4","Permite craftear armas a distancia Medias tier 4",,
craftingRangedWeaponRegularT5Desc,,,,,"Can craft Medium Ranged Weapons tier 5","Permite craftear armas a distancia Medias tier 5",,
craftingRangedWeaponRegularT6Desc,,,,,"Can craft Medium Ranged Weapons tier 6","Permite craftear armas a distancia Medias tier 6",,
craftingRangedWeaponRegularT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponRegularT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponRegularT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponRegularT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponRegularT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponRegularT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
rangedWeaponRegularT1,,,,,"Medium Ranged Weapons tier 1.","Armas a distancia Medias tier 1.",,
rangedWeaponRegularT2,,,,,"Medium Ranged Weapons tier 2.","Armas a distancia Medias tier 2.",,
rangedWeaponRegularT3,,,,,"Medium Ranged Weapons tier 3.","Armas a distancia Medias tier 3.",,
rangedWeaponRegularT4,,,,,"Medium Ranged Weapons tier 4.","Armas a distancia Medias tier 4.",,
rangedWeaponRegularT5,,,,,"Medium Ranged Weapons tier 5.","Armas a distancia Medias tier 5.",,
rangedWeaponRegularT6,,,,,"Medium Ranged Weapons tier 6.","Armas a distancia Medias tier 6.",,
craftingRangedWeaponAdvancedT1Name,,,,,"Advanced Ranged Weapons tier 1","Armas a distancia Avanzadas tier 1",,
craftingRangedWeaponAdvancedT2Name,,,,,"Advanced Ranged Weapons tier 2","Armas a distancia Avanzadas tier 2",,
craftingRangedWeaponAdvancedT3Name,,,,,"Advanced Ranged Weapons tier 3","Armas a distancia Avanzadas tier 3",,
craftingRangedWeaponAdvancedT4Name,,,,,"Advanced Ranged Weapons tier 4","Armas a distancia Avanzadas tier 4",,
craftingRangedWeaponAdvancedT5Name,,,,,"Advanced Ranged Weapons tier 5","Armas a distancia Avanzadas tier 5",,
craftingRangedWeaponAdvancedT6Name,,,,,"Advanced Ranged Weapons tier 6","Armas a distancia Avanzadas tier 6",,
craftingRangedWeaponAdvancedT1Desc,,,,,"Can craft Advanced Ranged Weapons tier 1","Permite craftear armas a distancia Avanzadas tier 1",,
craftingRangedWeaponAdvancedT2Desc,,,,,"Can craft Advanced Ranged Weapons tier 2","Permite craftear armas a distancia Avanzadas tier 2",,
craftingRangedWeaponAdvancedT3Desc,,,,,"Can craft Advanced Ranged Weapons tier 3","Permite craftear armas a distancia Avanzadas tier 3",,
craftingRangedWeaponAdvancedT4Desc,,,,,"Can craft Advanced Ranged Weapons tier 4","Permite craftear armas a distancia Avanzadas tier 4",,
craftingRangedWeaponAdvancedT5Desc,,,,,"Can craft Advanced Ranged Weapons tier 5","Permite craftear armas a distancia Avanzadas tier 5",,
craftingRangedWeaponAdvancedT6Desc,,,,,"Can craft Advanced Ranged Weapons tier 6","Permite craftear armas a distancia Avanzadas tier 6",,
craftingRangedWeaponAdvancedT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponAdvancedT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponAdvancedT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponAdvancedT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponAdvancedT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingRangedWeaponAdvancedT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
rangedWeaponAdvancedT1,,,,,"Advanced Ranged Weapons tier 1.","Armas a distancia Avanzadas tier 1.",,
rangedWeaponAdvancedT2,,,,,"Advanced Ranged Weapons tier 2.","Armas a distancia Avanzadas tier 2.",,
rangedWeaponAdvancedT3,,,,,"Advanced Ranged Weapons tier 3.","Armas a distancia Avanzadas tier 3.",,
rangedWeaponAdvancedT4,,,,,"Advanced Ranged Weapons tier 4.","Armas a distancia Avanzadas tier 4.",,
rangedWeaponAdvancedT5,,,,,"Advanced Ranged Weapons tier 5.","Armas a distancia Avanzadas tier 5.",,
rangedWeaponAdvancedT6,,,,,"Advanced Ranged Weapons tier 6.","Armas a distancia Avanzadas tier 6.",,
craftingArmorClothScrapT1Name,,,,,"Cloth and Scrap Armors tier 1","Armaduras de Tela y Chatarra tier 1",,
craftingArmorClothScrapT2Name,,,,,"Cloth and Scrap Armors tier 2","Armaduras de Tela y Chatarra tier 2",,
craftingArmorClothScrapT3Name,,,,,"Cloth and Scrap Armors tier 3","Armaduras de Tela y Chatarra tier 3",,
craftingArmorClothScrapT4Name,,,,,"Cloth and Scrap Armors tier 4","Armaduras de Tela y Chatarra tier 4",,
craftingArmorClothScrapT5Name,,,,,"Cloth and Scrap Armors tier 5","Armaduras de Tela y Chatarra tier 5",,
craftingArmorClothScrapT6Name,,,,,"Cloth and Scrap Armors tier 6","Armaduras de Tela y Chatarra tier 6",,
craftingArmorClothScrapT1Desc,,,,,"Can craft Cloth and Scrap Armors tier 1","Permite craftear armaduras de Tela y Chatarra tier 1",,
craftingArmorClothScrapT2Desc,,,,,"Can craft Cloth and Scrap Armors tier 2","Permite craftear armaduras de Tela y Chatarra tier 2",,
craftingArmorClothScrapT3Desc,,,,,"Can craft Cloth and Scrap Armors tier 3","Permite craftear armaduras de Tela y Chatarra tier 3",,
craftingArmorClothScrapT4Desc,,,,,"Can craft Cloth and Scrap Armors tier 4","Permite craftear armaduras de Tela y Chatarra tier 4",,
craftingArmorClothScrapT5Desc,,,,,"Can craft Cloth and Scrap Armors tier 5","Permite craftear armaduras de Tela y Chatarra tier 5",,
craftingArmorClothScrapT6Desc,,,,,"Can craft Cloth and Scrap Armors tier 6","Permite craftear armaduras de Tela y Chatarra tier 6",,
craftingArmorClothScrapT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorClothScrapT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorClothScrapT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorClothScrapT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorClothScrapT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorClothScrapT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
armorClothScrapT1,,,,,"Cloth and Scrap Armors tier 1.","Armaduras de Tela y Chatarra tier 1.",,
armorClothScrapT2,,,,,"Cloth and Scrap Armors tier 2.","Armaduras de Tela y Chatarra tier 2.",,
armorClothScrapT3,,,,,"Cloth and Scrap Armors tier 3.","Armaduras de Tela y Chatarra tier 3.",,
armorClothScrapT4,,,,,"Cloth and Scrap Armors tier 4.","Armaduras de Tela y Chatarra tier 4.",,
armorClothScrapT5,,,,,"Cloth and Scrap Armors tier 5.","Armaduras de Tela y Chatarra tier 5.",,
armorClothScrapT6,,,,,"Cloth and Scrap Armors tier 6.","Armaduras de Tela y Chatarra tier 6.",,
craftingArmorLeatherIronT1Name,,,,,"Leather and Iron Armors tier 1","Armaduras de Cuero y Hierro tier 1",,
craftingArmorLeatherIronT2Name,,,,,"Leather and Iron Armors tier 2","Armaduras de Cuero y Hierro tier 2",,
craftingArmorLeatherIronT3Name,,,,,"Leather and Iron Armors tier 3","Armaduras de Cuero y Hierro tier 3",,
craftingArmorLeatherIronT4Name,,,,,"Leather and Iron Armors tier 4","Armaduras de Cuero y Hierro tier 4",,
craftingArmorLeatherIronT5Name,,,,,"Leather and Iron Armors tier 5","Armaduras de Cuero y Hierro tier 5",,
craftingArmorLeatherIronT6Name,,,,,"Leather and Iron Armors tier 6","Armaduras de Cuero y Hierro tier 6",,
craftingArmorLeatherIronT1Desc,,,,,"Can craft Leather and Iron Armors tier 1","Permite craftear armaduras de Cuero y Hierro tier 1",,
craftingArmorLeatherIronT2Desc,,,,,"Can craft Leather and Iron Armors tier 2","Permite craftear armaduras de Cuero y Hierro tier 2",,
craftingArmorLeatherIronT3Desc,,,,,"Can craft Leather and Iron Armors tier 3","Permite craftear armaduras de Cuero y Hierro tier 3",,
craftingArmorLeatherIronT4Desc,,,,,"Can craft Leather and Iron Armors tier 4","Permite craftear armaduras de Cuero y Hierro tier 4",,
craftingArmorLeatherIronT5Desc,,,,,"Can craft Leather and Iron Armors tier 5","Permite craftear armaduras de Cuero y Hierro tier 5",,
craftingArmorLeatherIronT6Desc,,,,,"Can craft Leather and Iron Armors tier 6","Permite craftear armaduras de Cuero y Hierro tier 6",,
craftingArmorLeatherIronT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorLeatherIronT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorLeatherIronT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorLeatherIronT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorLeatherIronT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorLeatherIronT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
armorLeatherIronT1,,,,,"Leather and Iron Armors tier 1.","Armaduras de Cuero y Hierro tier 1.",,
armorLeatherIronT2,,,,,"Leather and Iron Armors tier 2.","Armaduras de Cuero y Hierro tier 2.",,
armorLeatherIronT3,,,,,"Leather and Iron Armors tier 3.","Armaduras de Cuero y Hierro tier 3.",,
armorLeatherIronT4,,,,,"Leather and Iron Armors tier 4.","Armaduras de Cuero y Hierro tier 4.",,
armorLeatherIronT5,,,,,"Leather and Iron Armors tier 5.","Armaduras de Cuero y Hierro tier 5.",,
armorLeatherIronT6,,,,,"Leather and Iron Armors tier 6.","Armaduras de Cuero y Hierro tier 6.",,
craftingArmorMilitarySteelT1Name,,,,,"Military and Steel Armors tier 1","Armaduras de Acero y Militar tier 1",,
craftingArmorMilitarySteelT2Name,,,,,"Military and Steel Armors tier 2","Armaduras de Acero y Militar tier 2",,
craftingArmorMilitarySteelT3Name,,,,,"Military and Steel Armors tier 3","Armaduras de Acero y Militar tier 3",,
craftingArmorMilitarySteelT4Name,,,,,"Military and Steel Armors tier 4","Armaduras de Acero y Militar tier 4",,
craftingArmorMilitarySteelT5Name,,,,,"Military and Steel Armors tier 5","Armaduras de Acero y Militar tier 5",,
craftingArmorMilitarySteelT6Name,,,,,"Military and Steel Armors tier 6","Armaduras de Acero y Militar tier 6",,
craftingArmorMilitarySteelT1Desc,,,,,"Can craft Military and Steel Armors tier 1","Permite craftear armaduras de Acero y Militar tier 1",,
craftingArmorMilitarySteelT2Desc,,,,,"Can craft Military and Steel Armors tier 2","Permite craftear armaduras de Acero y Militar tier 2",,
craftingArmorMilitarySteelT3Desc,,,,,"Can craft Military and Steel Armors tier 3","Permite craftear armaduras de Acero y Militar tier 3",,
craftingArmorMilitarySteelT4Desc,,,,,"Can craft Military and Steel Armors tier 4","Permite craftear armaduras de Acero y Militar tier 4",,
craftingArmorMilitarySteelT5Desc,,,,,"Can craft Military and Steel Armors tier 5","Permite craftear armaduras de Acero y Militar tier 5",,
craftingArmorMilitarySteelT6Desc,,,,,"Can craft Military and Steel Armors tier 6","Permite craftear armaduras de Acero y Militar tier 6",,
craftingArmorMilitarySteelT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorMilitarySteelT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorMilitarySteelT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorMilitarySteelT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorMilitarySteelT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorMilitarySteelT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
armorMilitarySteelT1,,,,,"Military and Steel Armors tier 1.","Armaduras de Acero y Militar tier 1.",,
armorMilitarySteelT2,,,,,"Military and Steel Armors tier 2.","Armaduras de Acero y Militar tier 2.",,
armorMilitarySteelT3,,,,,"Military and Steel Armors tier 3.","Armaduras de Acero y Militar tier 3.",,
armorMilitarySteelT4,,,,,"Military and Steel Armors tier 4.","Armaduras de Acero y Militar tier 4.",,
armorMilitarySteelT5,,,,,"Military and Steel Armors tier 5.","Armaduras de Acero y Militar tier 5.",,
armorMilitarySteelT6,,,,,"Military and Steel Armors tier 6.","Armaduras de Acero y Militar tier 6.",,
craftingArmorGrapheneT1Name,,,,,"Graphene Armors tier 1","Armaduras de Grafeno tier 1",,
craftingArmorGrapheneT2Name,,,,,"Graphene Armors tier 2","Armaduras de Grafeno tier 2",,
craftingArmorGrapheneT3Name,,,,,"Graphene Armors tier 3","Armaduras de Grafeno tier 3",,
craftingArmorGrapheneT4Name,,,,,"Graphene Armors tier 4","Armaduras de Grafeno tier 4",,
craftingArmorGrapheneT5Name,,,,,"Graphene Armors tier 5","Armaduras de Grafeno tier 5",,
craftingArmorGrapheneT6Name,,,,,"Graphene Armors tier 6","Armaduras de Grafeno tier 6",,
craftingArmorGrapheneT1Desc,,,,,"Can craft Graphene Armors tier 1","Permite craftear armaduras de Grafeno tier 1",,
craftingArmorGrapheneT2Desc,,,,,"Can craft Graphene Armors tier 2","Permite craftear armaduras de Grafeno tier 2",,
craftingArmorGrapheneT3Desc,,,,,"Can craft Graphene Armors tier 3","Permite craftear armaduras de Grafeno tier 3",,
craftingArmorGrapheneT4Desc,,,,,"Can craft Graphene Armors tier 4","Permite craftear armaduras de Grafeno tier 4",,
craftingArmorGrapheneT5Desc,,,,,"Can craft Graphene Armors tier 5","Permite craftear armaduras de Grafeno tier 5",,
craftingArmorGrapheneT6Desc,,,,,"Can craft Graphene Armors tier 6","Permite craftear armaduras de Grafeno tier 6",,
craftingArmorGrapheneT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorGrapheneT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorGrapheneT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorGrapheneT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorGrapheneT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingArmorGrapheneT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
armorGrapheneT1,,,,,"Graphene Armors tier 1.","Armaduras de Grafeno tier 1.",,
armorGrapheneT2,,,,,"Graphene Armors tier 2.","Armaduras de Grafeno tier 2.",,
armorGrapheneT3,,,,,"Graphene Armors tier 3.","Armaduras de Grafeno tier 3.",,
armorGrapheneT4,,,,,"Graphene Armors tier 4.","Armaduras de Grafeno tier 4.",,
armorGrapheneT5,,,,,"Graphene Armors tier 5.","Armaduras de Grafeno tier 5.",,
armorGrapheneT6,,,,,"Graphene Armors tier 6.","Armaduras de Grafeno tier 6.",,
craftingElectricityTrapsT1Name,,,,,"Electrical, Mechanical and Workstation tier 1","Maquinas, Electricidad y Mecanica tier 1",,
craftingElectricityTrapsT2Name,,,,,"Electrical, Mechanical and Workstation tier 2","Maquinas, Electricidad y Mecanica tier 2",,
craftingElectricityTrapsT3Name,,,,,"Electrical, Mechanical and Workstation tier 3","Maquinas, Electricidad y Mecanica tier 3",,
craftingElectricityTrapsT4Name,,,,,"Electrical, Mechanical and Workstation tier 4","Maquinas, Electricidad y Mecanica tier 4",,
craftingElectricityTrapsT5Name,,,,,"Electrical, Mechanical and Workstation tier 5","Maquinas, Electricidad y Mecanica tier 5",,
craftingElectricityTrapsT6Name,,,,,"Electrical, Mechanical and Workstation tier 6","Maquinas, Electricidad y Mecanica tier 6",,
craftingElectricityTrapsT1Desc,,,,,"Can craft Electrical, Mechanical and Workstation tier 1","Permite craftear Maquinas, Electricidad y Mecanica tier 1",,
craftingElectricityTrapsT2Desc,,,,,"Can craft Electrical, Mechanical and Workstation tier 2","Permite craftear Maquinas, Electricidad y Mecanica tier 2",,
craftingElectricityTrapsT3Desc,,,,,"Can craft Electrical, Mechanical and Workstation tier 3","Permite craftear Maquinas, Electricidad y Mecanica tier 3",,
craftingElectricityTrapsT4Desc,,,,,"Can craft Electrical, Mechanical and Workstation tier 4","Permite craftear Maquinas, Electricidad y Mecanica tier 4",,
craftingElectricityTrapsT5Desc,,,,,"Can craft Electrical, Mechanical and Workstation tier 5","Permite craftear Maquinas, Electricidad y Mecanica tier 5",,
craftingElectricityTrapsT6Desc,,,,,"Can craft Electrical, Mechanical and Workstation tier 6","Permite craftear Maquinas, Electricidad y Mecanica tier 6",,
craftingElectricityTrapsT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingElectricityTrapsT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingElectricityTrapsT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingElectricityTrapsT4LongDesc,,,,,"ELong Descripcion","Long Descripcion",,
craftingElectricityTrapsT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingElectricityTrapsT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
electricityTrapsT1,,,,,"Electrical, Mechanical and Workstation tier 1.","Maquinas, Electricidad y Mecanica tier 1.",,
electricityTrapsT2,,,,,"Electrical, Mechanical and Workstation tier 2.","Maquinas, Electricidad y Mecanica tier 2.",,
electricityTrapsT3,,,,,"Electrical, Mechanical and Workstation tier 3.","Maquinas, Electricidad y Mecanica tier 3.",,
electricityTrapsT4,,,,,"Electrical, Mechanical and Workstation tier 4.","Maquinas, Electricidad y Mecanica tier 4.",,
electricityTrapsT5,,,,,"Electrical, Mechanical and Workstation tier 5.","Maquinas, Electricidad y Mecanica tier 5.",,
electricityTrapsT6,,,,,"Electrical, Mechanical and Workstation tier 6.","Maquinas, Electricidad y Mecanica tier 6.",,
craftingFoodMedBombT1Name,,,,,"Food, Medical and Explosives tier 1","Comida, Medicina y Explosivos tier 1",,
craftingFoodMedBombT2Name,,,,,"Food, Medical and Explosives tier 2","Comida, Medicina y Explosivos tier 2",,
craftingFoodMedBombT3Name,,,,,"Food, Medical and Explosives tier 3","Comida, Medicina y Explosivos tier 3",,
craftingFoodMedBombT4Name,,,,,"Food, Medical and Explosives tier 4","Comida, Medicina y Explosivos tier 4",,
craftingFoodMedBombT5Name,,,,,"Food, Medical and Explosives tier 5","Comida, Medicina y Explosivos tier 5",,
craftingFoodMedBombT6Name,,,,,"Food, Medical and Explosives tier 6","Comida, Medicina y Explosivos tier 6",,
craftingFoodMedBombT1Desc,,,,,"Can craft Food, Medical and Explosives tier 1","Permite craftear Comida, Medicina y Explosivos tier 1",,
craftingFoodMedBombT2Desc,,,,,"Can craft Food, Medical and Explosives tier 2","Permite craftear Comida, Medicina y Explosivos tier 2",,
craftingFoodMedBombT3Desc,,,,,"Can craft Food, Medical and Explosives tier 3","Permite craftear Comida, Medicina y Explosivos tier 3",,
craftingFoodMedBombT4Desc,,,,,"Can craft Food, Medical and Explosives tier 4","Permite craftear Comida, Medicina y Explosivos tier 4",,
craftingFoodMedBombT5Desc,,,,,"Can craft Food, Medical and Explosives tier 5","Permite craftear Comida, Medicina y Explosivos tier 5",,
craftingFoodMedBombT6Desc,,,,,"Can craft Food, Medical and Explosives tier 6","Permite craftear Comida, Medicina y Explosivos tier 6",,
craftingFoodMedBombT1LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingFoodMedBombT2LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingFoodMedBombT3LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingFoodMedBombT4LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingFoodMedBombT5LongDesc,,,,,"Long Descripcion","Long Descripcion",,
craftingFoodMedBombT6LongDesc,,,,,"Long Descripcion","Long Descripcion",,
foodMedBombT1,,,,,"Food, Medical and Explosives tier 1.","Comida, Medicina y Explosivos tier 1.",,
foodMedBombT2,,,,,"Food, Medical and Explosives tier 2.","Comida, Medicina y Explosivos tier 2.",,
foodMedBombT3,,,,,"Food, Medical and Explosives tier 3.","Comida, Medicina y Explosivos tier 3.",,
foodMedBombT4,,,,,"Food, Medical and Explosives tier 4.","Comida, Medicina y Explosivos tier 4.",,
foodMedBombT5,,,,,"Food, Medical and Explosives tier 5.","Comida, Medicina y Explosivos tier 5.",,
foodMedBombT6,,,,,"Food, Medical and Explosives tier 6.","Comida, Medicina y Explosivos tier 6.",,
questLetterTM,,,,,"A letter with a special request","Una carta con una petición especial",,
questLetterTMDesc,,,,,"A letter with a special request \n\nOpen the letter to get a challenge proposed by a survivor, a special request, which the seller will know how to reward appropriately.","Una carta con una petición especial. \n\nAbre la carta para obtener un reto propuesto por algún superviviente, una petición especial, que el vendedor sabrá recompensar adecuadamente.",,
quest_radialxDesc,,,,,"Activate the mission to learn the details","Activa la misión para conocer los detalles",,
quest_radial1,,,,,"The Stealthiest","Los más Sigilosos",,
quest_radial2,,,,,"From the Junk","Llegado del Chatarrero",,
quest_radial3,,,,,"Leather Lover","Amante del Cuero",,
quest_radial4,,,,,"You look like a Bandit","Pareces un Bandido",,
quest_radial5,,,,,"Call of Duty","Llamada al Deber",,
quest_radial6,,,,,"The Heavy Armor","El Blindado",,
quest_radial7,,,,,"Ecologist 1","Ecologista 1",,
quest_radial8,,,,,"Ecologist 2","Ecologista 2",,
quest_radial9,,,,,"Knitting","Tejedor",,
quest_radial10,,,,,"Like Robin Hood","Como Robin Hood",,
quest_radial11,,,,,"Ecologist 3","Ecologista 3",,
quest_radial12,,,,,"Survivor 1","Superviviente 1",,
quest_radial13,,,,,"Survivor 2","Superviviente 2",,
quest_radial14,,,,,"Survivor 3","Superviviente 3",,
quest_radial15,,,,,"I always wanted you to have my house","Siempre quise tenes mi Casa",,
quest_radial16,,,,,"The best offense is a good defense","El mejor ataque es una buena Defensa",,
quest_radial17,,,,,"Better with Rocks","Mejor con Rocas",,
quest_radial18,,,,,"I hate the Bald Men","Odio a los Calvos",,
quest_radial19,,,,,"Damn Suits","Malditos Trajeados",,
quest_radial20,,,,,"Evil Nurses","Enfermeras Malvadas",,
quest_radial21,,,,,"Evil Nurses","Tiempos de Caza",,
quest_radial22,,,,,"Evil Nurses","Conejo Saltarin",,
quest_radial23,,,,,"Evil Nurses","La Gallina Corredora",,
quest_radial24,,,,,"Evil Nurses","Los Caminantes 1",,
quest_radial25,,,,,"Evil Nurses","Los Caminantes 2",,
quest_radial26,,,,,"Evil Nurses","Los Caminantes 3",,
quest_radial27,,,,,"Snake, SNAKEEEEE!!!!","Snake, SNAKEEEEE!!!!",,
quest_radial28,,,,,"The Harvest Times","Los tiempos de la Cosecha",,
quest_radial29,,,,,"Long live the Wine!!","Viva el Vino!!",,
quest_radial30,,,,,"Don't miss out on food","Que no falte Comida",,
name,,,,,"English","Spanish",,
quest_radial1Desc,,,,,"Janisse's Petition","Petición de Janisse",,
quest_radial2Desc,,,,,"Jonson's Request","Petición de Jonson",,
quest_radial3Desc,,,,,"Anonymous Request","Petición de Anónimo",,
quest_radial4Desc,,,,,"Billy's Request","Petición de Billy",,
quest_radial5Desc,,,,,"Lt. Carter's Petition","Petición de Lt. Carter",,
quest_radial6Desc,,,,,"Arnold's Petition","Petición de Arnold",,
quest_radial7Desc,,,,,"Lisa's Request","Petición de Lisa",,
quest_radial8Desc,,,,,"Marge's Request","Petición de Marge",,
quest_radial9Desc,,,,,"Grandma's Request","Petición de Grandma",,
quest_radial10Desc,,,,,"Peter's Request","Petición de Peter",,
quest_radial11Desc,,,,,"Valen's Request","Petición de Valen",,
quest_radial12Desc,,,,,"Chunso's Request","Petición de Chunso",,
quest_radial13Desc,,,,,"Mckaine's Request","Petición de Mckaine",,
quest_radial14Desc,,,,,"Will's Request","Petición de Will",,
quest_radial15Desc,,,,,"Landon's Request","Petición de Landon",,
quest_radial16Desc,,,,,"Ken's Request","Petición de Ken",,
quest_radial17Desc,,,,,"Dwayne's Request","Petición de Dwayne",,
quest_radial18Desc,,,,,"Bob's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Bob \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial19Desc,,,,,"Leo's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Leo \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial20Desc,,,,,"Uma's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Uma \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial21Desc,,,,,"Ingal's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Ingal \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
